pattern,algorithm,final_acc_mean,final_acc_std
PIR,FESL,0.7392,0.018
PIR,FOBOS,0.7368,0.0092
PIR,FTRL,0.7332,0.0074
PIR,ORF3V,0.6376,0.0239
INC,FESL,0.8876,0.0115
INC,FOBOS,0.888,0.0122
INC,FTRL,0.8928,0.0112
INC,ORF3V,0.6136,0.0199
DEC,FESL,0.7124,0.0169
DEC,FOBOS,0.6992,0.0178
DEC,FTRL,0.708,0.0216
DEC,ORF3V,0.646,0.0231
TDS,FESL,0.8868,0.0141
TDS,FOBOS,0.8008,0.0087
TDS,FTRL,0.8572,0.0177
TDS,ORF3V,0.6136,0.0199
CDS,FESL,0.5372,0.0331
CDS,FOBOS,0.5604,0.0307
CDS,FTRL,0.7808,0.018
CDS,ORF3V,0.6144,0.0202
EDS,FESL,0.6136,0.0199
EDS,FOBOS,0.4576,0.0335
EDS,FTRL,0.658,0.0066
EDS,ORF3V,0.6152,0.0205
